1619530761.680551, 0
1619530761.703847, 0
1619530761.718493, 0
1619530761.733486, 7
1619530761.748226, 0
1619530761.763932, 6
1619530761.778130, 9
1619530761.794680, 10
1619530761.811015, 10
1619530761.828064, 9
1619530761.841888, 9
1619530761.858565, 9
1619530761.873349, 7
1619530761.890906, 10
1619530761.909874, 8
1619530761.925969, 10
1619530761.944868, 9
1619530761.958904, 9
1619530761.979187, 4
1619530762.003316, 2
1619530762.017678, 3
1619530762.032927, 3
1619530762.047333, 3
1619530762.065415, 2
1619530762.080046, 2
1619530762.094207, 3
1619530762.112145, 3
1619530762.127965, 5
1619530762.141702, 3
1619530762.158637, 4
1619530762.174737, 4
1619530762.189182, 5
1619530762.203555, 6
1619530762.219037, 5
1619530762.236012, 6
1619530762.251422, 6
1619530762.268144, 7
1619530762.282807, 7
1619530762.297213, 7
1619530762.313810, 7
1619530762.329656, 5
1619530762.343156, 7
1619530762.360247, 7
1619530762.377022, 8
1619530762.392496, 10
1619530762.406610, 10
1619530762.422631, 7
1619530762.439923, 8
1619530762.454994, 8
1619530762.476498, 6
1619530762.492884, 3
1619530762.507142, 2
1619530762.524452, 2
1619530762.540893, 3
1619530762.555094, 2
1619530762.572191, 3
1619530762.588901, 3
1619530762.604949, 4
1619530762.619659, 5
1619530762.637394, 4
1619530762.651468, 5
1619530762.665292, 5
1619530762.681379, 6
1619530762.697045, 5
1619530762.715325, 6
1619530762.729523, 5
1619530762.745735, 6
1619530762.759961, 7
1619530762.774370, 6
1619530762.792296, 7
1619530762.807122, 8
1619530762.821612, 7
1619530762.837726, 8
1619530762.852720, 8
1619530762.867518, 7
1619530762.884599, 8
1619530762.901908, 8
1619530762.917383, 9
1619530762.931704, 7
1619530762.952987, 10
1619530762.969165, 8
1619530762.984101, 3
1619530762.999741, 2
1619530763.017265, 2
1619530763.031687, 2
1619530763.046277, 2
1619530763.062973, 3
1619530763.077767, 3
1619530763.093452, 3
1619530763.111835, 3
1619530763.129114, 4
1619530763.146482, 4
1619530763.160501, 4
1619530763.178220, 5
1619530763.193778, 6
1619530763.209674, 6
1619530763.228564, 6
1619530763.242841, 5
1619530763.259310, 6
1619530763.274667, 7
1619530763.289699, 7
1619530763.309249, 7
1619530763.324332, 6
1619530763.338333, 7
1619530763.354778, 8
1619530763.369681, 9
1619530763.384736, 8
1619530763.399655, 8
1619530763.419076, 9
1619530763.434778, 9
1619530763.449847, 10
1619530763.466382, 10
1619530763.481686, 10
1619530763.496081, 9
1619530763.511394, 8
1619530763.529494, 9
1619530763.545139, 10
1619530763.561010, 9
1619530763.576921, 9
1619530763.593532, 6
1619530763.608964, 4
1619530763.624000, 3
1619530763.638237, 2
1619530763.652895, 2
1619530763.668050, 2
1619530763.681831, 4
1619530763.697347, 4
1619530763.714786, 4
1619530763.728774, 5
1619530763.744264, 5
1619530763.759354, 6
1619530763.773578, 5
1619530763.789855, 6
1619530763.804441, 6
1619530763.818867, 5
1619530763.837325, 7
1619530763.853766, 6
1619530763.868463, 7
1619530763.883141, 8
1619530763.900093, 7
1619530763.915651, 8
1619530763.929877, 8
1619530763.944410, 9
1619530763.960751, 8
1619530763.975220, 8
1619530763.989860, 9
1619530764.005490, 8
1619530764.021339, 9
1619530764.036055, 10
1619530764.055712, 8
1619530764.071559, 8
1619530764.086168, 9
1619530764.100967, 9
1619530764.118222, 5
1619530764.133074, 3
1619530764.147976, 3
1619530764.165165, 2
1619530764.181213, 3
1619530764.195375, 3
1619530764.213129, 3
1619530764.229674, 4
1619530764.244841, 3
1619530764.259611, 3
1619530764.278354, 4
1619530764.293536, 5
1619530764.310029, 5
1619530764.329440, 5
1619530764.344055, 5
1619530764.359063, 6
1619530764.373755, 5
1619530764.390120, 7
1619530764.404874, 7
1619530764.419388, 7
1619530764.437312, 8
1619530764.451835, 7
1619530764.466676, 8
1619530764.484291, 7
