1619581844.800886,1,14.7
1619581844.923253,2,17.5
1619581845.052307,3,11.4
1619581845.175097,4,15.2
1619581845.301503,5,16.6
1619581845.429755,6,12.6
1619581845.552742,7,13.6
1619581845.676388,8,17.0
1619581845.804069,9,16.6
1619581845.932264,10,14.3
1619581846.057518,11,15.7
1619581846.180018,12,16.1
1619581846.307087,13,15.4
1619581846.433684,14,15.4
1619581846.559870,15,15.9
1619581846.686981,16,15.7
1619581846.815468,17,14.4
1619581846.941409,18,14.3
1619581847.068176,19,12.6
1619581847.190704,20,15.4
1619581847.318432,21,15.8
1619581847.446351,22,16.3
1619581847.573144,23,15.4
1619581847.700240,24,15.7
1619581847.826973,25,16.4
1619581847.955262,26,15.0
1619581848.081651,27,15.6
1619581848.209452,28,13.8
1619581848.334906,29,14.8
1619581848.461549,30,15.7
1619581848.588677,31,14.6
1619581848.714003,32,16.1
1619581848.842247,33,12.0
1619581848.963861,34,14.8
1619581849.089912,35,14.9
1619581849.215304,36,14.4
1619581849.341834,37,13.5
1619581849.466029,38,16.7
1619581849.593732,39,14.6
1619581849.719130,40,14.2
1619581849.845605,41,14.0
1619581849.972846,42,13.7
1619581850.097633,43,14.7
1619581850.222509,44,8.10
1619581850.340808,45,15.0
1619581850.466962,46,16.1
1619581850.592573,47,16.8
1619581850.718553,48,17.0
1619581850.846628,49,16.1
1619581850.971919,50,9.32
1619581851.087901,51,14.0
1619581851.212037,52,17.1
1619581851.336712,53,16.2
1619581851.462932,54,15.7
1619581851.589284,55,16.3
1619581851.716523,56,15.8
1619581851.844457,57,14.1
1619581851.969648,58,17.3
1619581852.097188,59,12.0
1619581852.219307,60,17.9
1619581852.347399,61,12.6
1619581852.474281,62,14.9
1619581852.601175,63,14.9
1619581852.725336,64,16.9
1619581852.850842,65,12.8
1619581852.976375,66,14.5
1619581853.101168,67,13.6
1619581853.226114,68,16.9
1619581853.353345,69,15.1
1619581853.478082,70,16.6
1619581853.604094,71,16.3
1619581853.730436,72,15.4
1619581853.856275,73,14.0
1619581853.980386,74,16.0
1619581854.106742,75,15.5
1619581854.232828,76,15.8
1619581854.357776,77,14.9
1619581854.485812,78,16.4
1619581854.609264,79,12.3
1619581854.729543,80,14.9
1619581854.856976,81,13.1
1619581854.980175,82,14.7
1619581855.105823,83,15.8
1619581855.232655,84,15.9
1619581855.364736,85,16.7
1619581855.489882,86,15.6
1619581855.617235,87,12.4
1619581855.740407,88,16.6
1619581855.866661,89,13.1
1619581855.990638,90,13.9
1619581856.116528,91,15.4
1619581856.241858,92,15.2
1619581856.367348,93,18.1
1619581856.495105,94,11.9
